,Unnamed: 0,_id,ltable_id,rtable_id,ltable_Country,ltable_Industry,ltable_MarketValue,ltable_Name,rtable_Name,rtable_Country,rtable_Sector,rtable_Industry,rtable_MarketValue,is_match
208,31472,31472,2645,3495,United States,Real Estate,23600,Prologis,"Prologis, Inc.",United States,Consumer Services,Real Estate Investment Trusts,27473.561960000003,1
188,28700,28700,3053,3151,United States,"Trucking, Truck Leasing",5836,Old Dominion Freight Line,Old Republic International Corporation,United States,Finance,Property-Casualty Insurers,5382.413906000001,0
12,1623,1623,1284,224,United States,Electric Utilities,30800,American Electric,"American Electric Power Company, Inc.",United States,Public Utilities,Electric Utilities: Central,33008.631330000004,1
221,33559,33559,1677,3782,United States,Health Care: Medical Facilities,1550,Select Medical Holdings,Select Comfort Corporation,United States,Consumer Durables,Home Furnishings,1064.94525,0
239,36480,36480,2528,4206,United States,Printing & Publishing,30900,Thomson Reuters,Thomson Reuters Corp,United States,Consumer Services,Publishing,31290.441000000003,1
136,22307,22307,631,2387,United States,Auto & Truck Parts,27200,Johnson Controls,Johnson Outdoors Inc.,United States,Consumer Non-Durables,Recreational Products/Toys,364.0857358,0
230,34746,34746,2166,3945,United States,Medical Products and Equipment,15599,St. Jude Medical,St. Joe Company (The),United States,Consumer Services,Homebuilding,1267.545183,0
206,30454,30454,2336,3378,United States,Oil & Gas Operations,25100,Pioneer Natural Resources,Pioneer Natural Resources Company,United States,Energy,Oil & Gas Production,31621.288419999997,0
52,10603,10603,1566,944,United States,Food Production,-,CHS,CHS Inc,United States,Consumer Services,Farming/Seeds/Milling,219.20973999999998,1
108,18694,18694,1472,1907,United States,Financial Data Services,8447,Global Payments,"Global Net Lease, Inc.",United States,Consumer Services,Real Estate Investment Trusts,1595.762938,0
290,39978,39978,2670,4593,United States,Real Estate,24700,Weyerhaeuser,Weyerhaeuser Company,United States,Consumer Services,Real Estate Investment Trusts,25450.96132,1
15,2654,2654,2106,286,United States,Managed Health Care,38700,Anthem,"Anthem, Inc.",United States,Health Care,Medical Specialities,43722.92906,1
184,27754,27754,3048,2998,Japan,Trucking,4800,Nippon Express,Nippon Telegraph and Telephone Corporation,Japan,Public Utilities,Telecommunications Equipment,87177.42606,0
