,_id,ltable_id,rtable_id,ltable_Country,ltable_Industry,ltable_MarketValue,ltable_Name,rtable_Name,rtable_Country,rtable_Sector,rtable_Industry,rtable_MarketValue
16,16,925,10,United States,Conglomerates,102200,3M,3M Company,United States,Health Care,Medical/Dental Instruments,114338.2017
30,30,2217,15,United States,Miscellaneous,139,A-Mark Precious Metals,"A-Mark Precious Metals, Inc.",United States,Basic Industries,Other Specialty Stores,120.659682
34,34,829,16,United States,Chemicals,798,A. Schulman,"A. Schulman, Inc.",United States,Basic Industries,Major Chemicals,926.4719322000001
39,39,2464,23,United States,Pharmaceuticals,64900,Abbott Laboratories,Abbott Laboratories,United States,Health Care,Major Pharmaceuticals,76740.37324
40,40,2465,24,United States,Pharmaceuticals,99400,AbbVie,AbbVie Inc.,United States,Health Care,Major Pharmaceuticals,103837.4602
41,41,2842,26,United States,Specialty Retailers: Apparel,2132,Abercrombie & Fitch,Abercrombie & Fitch Company,United States,Consumer Services,Clothing/Shoe/Accessory Stores,811.0667883
226,226,1254,38,United States,Diversified Outsourcing Services,1812,ABM Industries,ABM Industries Incorporated,United States,Finance,Diversified Commercial Services,2427.457948
328,328,1408,48,United States,"Electronics, Electrical Equip.",9553,Acuity Brands,Acco Brands Corporation,United States,Consumer Durables,Publishing,1440.06702
433,433,2576,62,United States,Recreational Products,25500,Activision Blizzard,"Activision Blizzard, Inc",United States,Technology,Computer Software: Prepackaged Software,37487.08933
443,443,1408,65,United States,"Electronics, Electrical Equip.",9553,Acuity Brands,Acuity Brands Inc,United States,Consumer Durables,Building Products,8994.894479999999
449,449,2448,70,United States,Petroleum Refining,169,Adams Resources & Energy,"Adams Diversified Equity Fund, Inc.",United States,n/a,n/a,1367.2563300000002
467,467,2448,71,United States,Petroleum Refining,169,Adams Resources & Energy,"Adams Natural Resources Fund, Inc.",United States,n/a,n/a,554.5440231000001
493,493,2448,72,United States,Petroleum Refining,169,Adams Resources & Energy,"Adams Resources & Energy, Inc.",United States,Energy,Oil Refining/Marketing,157.5272106
538,538,2790,79,United States,Software & Programming,47400,Adobe Systems,Adobe Systems Incorporated,United States,Technology,Computer Software: Prepackaged Software,64501.78409
545,545,2878,82,United States,Specialty Stores,11600,Advance Auto Parts,Advance Auto Parts Inc,United States,Consumer Services,Other Specialty Stores,10935.89467
546,546,2126,82,United States,Media,-,Advance Publications,Advance Auto Parts Inc,United States,Consumer Services,Other Specialty Stores,10935.89467
625,625,2757,87,United States,Semiconductors and Other Electronic Components,2261,Advanced Micro Devices,"Advanced Micro Devices, Inc.",United States,Technology,Semiconductors,13697.351569999999
634,634,2731,88,Taiwan,Semiconductors,8300,Advanced Semiconductor,"Advanced Semiconductor Engineering, Inc.",Taiwan,Technology,Semiconductors,10334.38599
664,664,1014,95,United States,Construction Services,4700,AECOM Technology,AECOM,United States,Consumer Services,Military/Government/Technical,5527.67925
665,665,1438,95,United States,"Engineering, Construction",4699,AECOM,AECOM,United States,Consumer Services,Military/Government/Technical,5527.67925
674,674,2105,105,United States,Managed Health Care,40200,Aetna,Aetna Inc.,United States,Health Care,Medical Specialities,42206.295
677,677,1902,107,United States,Investment Services,9600,Affiliated Managers Group,"Affiliated Managers Group, Inc.",United States,Finance,Investment Managers,9295.900312
678,678,2029,108,United States,Life & Health Insurance,28500,Aflac,Aflac Incorporated,United States,Finance,Accident &Health Insurance,29053.25348
706,706,987,110,United States,Construction and Farm Machinery,4098,AGCO,AGCO Corporation,United States,Capital Goods,Industrial Machinery/Components,4782.672683
708,708,1376,113,United States,Electronics,13700,Agilent Technologies,"Agilent Technologies, Inc.",United States,Capital Goods,Biotechnology: Laboratory Analytical Instruments,17040.04885
815,815,2811,124,United States,Specialized Chemicals,31900,Air Products & Chemicals,"Air Products and Chemicals, Inc.",United States,Basic Industries,Major Chemicals,29437.74461
862,862,2168,130,United States,Metals,737,AK Steel Holding,AK Steel Holding Corporation,United States,Basic Industries,Steel/Iron Ore,2263.335815
867,867,886,131,United States,Computer Services,9000,Akamai Technologies,"Akamai Technologies, Inc.",United States,Miscellaneous,Business Services,10339.49804
868,868,521,139,United States,Airline,9500,Alaska Air Group,"Alaska Air Group, Inc.",United States,Transportation,Air Freight/Delivery Services,11407.30848
871,871,521,140,United States,Airline,9500,Alaska Air Group,"Alaska Communications Systems Group, Inc.",United States,Public Utilities,Telecommunications Equipment,94.55265638
920,920,2999,141,United States,Tobacco,156,Alliance One International,Albany International Corporation,United States,Basic Industries,Textiles,1478.205
963,963,830,143,United States,Chemicals,7176,Albemarle,Albemarle Corporation,United States,Basic Industries,Major Chemicals,11891.50562
976,976,2161,148,United States,Medical Products and Equipment,4380,Alere,Alere Inc.,United States,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,3456.6156020000003
981,981,701,152,United States,Biotechs,35800,Alexion Pharmaceuticals,"Alexion Pharmaceuticals, Inc.",United States,Health Care,Major Pharmaceuticals,27232.17105
983,983,742,153,China,Business & Personal Services,200700,Alibaba,Alibaba Group Holding Limited,China,Miscellaneous,Business Services,269575.0
986,986,2532,158,United States,Property & Casualty Insurance,7900,Alleghany,Alleghany Corporation,United States,Finance,Property-Casualty Insurers,9475.741776
987,987,2170,159,United States,Metals,1775,Allegheny Technologies,Allegheny Technologies Incorporated,United States,Basic Industries,Steel/Iron Ore,1953.4625579999997
993,993,2468,163,United States,Pharmaceuticals,90500,Allergan,Allergan plc.,United States,Health Care,Major Pharmaceuticals,80177.63849
994,994,2188,165,United States,"Mining, Crude-Oil Production",875,Alliance Holdings,Alliance California Municipal Income Fund Inc,United States,n/a,n/a,113.9481778
996,996,2999,165,United States,Tobacco,156,Alliance One International,Alliance California Municipal Income Fund Inc,United States,n/a,n/a,113.9481778
997,997,743,165,United States,Business & Personal Services,12200,Alliance Data Systems,Alliance California Municipal Income Fund Inc,United States,n/a,n/a,113.9481778
1001,1001,743,166,United States,Business & Personal Services,12200,Alliance Data Systems,Alliance Data Systems Corporation,United States,Miscellaneous,Business Services,13925.39995
1002,1002,2999,166,United States,Tobacco,156,Alliance One International,Alliance Data Systems Corporation,United States,Miscellaneous,Business Services,13925.39995
1004,1004,2188,166,United States,"Mining, Crude-Oil Production",875,Alliance Holdings,Alliance Data Systems Corporation,United States,Miscellaneous,Business Services,13925.39995
1015,1015,2188,167,United States,"Mining, Crude-Oil Production",875,Alliance Holdings,"Alliance HealthCare Services, Inc.",United States,Health Care,Medical Specialities,110.832881
1028,1028,743,167,United States,Business & Personal Services,12200,Alliance Data Systems,"Alliance HealthCare Services, Inc.",United States,Health Care,Medical Specialities,110.832881
1036,1036,2999,167,United States,Tobacco,156,Alliance One International,"Alliance HealthCare Services, Inc.",United States,Health Care,Medical Specialities,110.832881
1043,1043,743,168,United States,Business & Personal Services,12200,Alliance Data Systems,"Alliance Holdings GP, L.P.",United States,Energy,Coal Mining,1642.0420900000001
1045,1045,2188,168,United States,"Mining, Crude-Oil Production",875,Alliance Holdings,"Alliance Holdings GP, L.P.",United States,Energy,Coal Mining,1642.0420900000001
1047,1047,2999,168,United States,Tobacco,156,Alliance One International,"Alliance Holdings GP, L.P.",United States,Energy,Coal Mining,1642.0420900000001
1048,1048,2188,169,United States,"Mining, Crude-Oil Production",875,Alliance Holdings,"Alliance MMA, Inc.",United States,Consumer Services,Services-Misc. Amusement & Recreation,23.81889312
1050,1050,2999,169,United States,Tobacco,156,Alliance One International,"Alliance MMA, Inc.",United States,Consumer Services,Services-Misc. Amusement & Recreation,23.81889312
1051,1051,743,169,United States,Business & Personal Services,12200,Alliance Data Systems,"Alliance MMA, Inc.",United States,Consumer Services,Services-Misc. Amusement & Recreation,23.81889312
1053,1053,2188,170,United States,"Mining, Crude-Oil Production",875,Alliance Holdings,Alliance National Municipal Income Fund Inc,United States,n/a,n/a,384.60724369999997
1072,1072,743,170,United States,Business & Personal Services,12200,Alliance Data Systems,Alliance National Municipal Income Fund Inc,United States,n/a,n/a,384.60724369999997
1082,1082,2999,170,United States,Tobacco,156,Alliance One International,Alliance National Municipal Income Fund Inc,United States,n/a,n/a,384.60724369999997
1099,1099,2188,171,United States,"Mining, Crude-Oil Production",875,Alliance Holdings,"Alliance One International, Inc.",United States,Consumer Services,Farming/Seeds/Milling,125.09035530000001
