id,Company,Country,Industry,Sales (M),Profits (M),Assets (M),Market Value (M),Employee
1,3i Group,United Kingdom,Investment Services,485,925,7500,6700,-
2,3M,United States,Conglomerates,30300,4800,32700,102200,-
3,4moms,United States,Consumer Durables,48 ,-,-,-,175
4,77 Bank,Japan,Regional Banks,853,165,69100,1400,-
5,84 Lumber,United States,Retailing,2500,-,-,-,4700
6,9Round - 30 Minute Kickbox Fitness,United States,Services,4 ,-,-,-,14
7,A. Schulman,U.S.,Chemicals,2392,27 ,2352,798 ,5000
8,A.O. Smith,U.S.,"Electronics, Electrical Equip.",2537,283 ,2647,6706,13386
9,Aareal Bank,Germany,Thrifts & Mortgage Finance,1400,389,57200,2100,-
10,Aaron®πs,U.S.,Specialty Retailers: Other,3180,136 ,2659,1826,12700
11,ABB,Switzerland,Conglomerates,35500,1900,41600,48100,-
12,Abbott Laboratories,United States,Pharmaceuticals,20400,2400,41200,64900,-
13,AbbVie,United States,Pharmaceuticals,22900,5100,53100,99400,-
14,ABC Supply,United States,Construction,5900,-,-,-,8000
15,Abercrombie & Fitch,U.S.,Specialty Retailers: Apparel,3519,36 ,2433,2132,28500
16,Abertis,Spain,Other Transportation,4900,-916,28000,15000,-
17,ABM Industries,U.S.,Diversified Outsourcing Services,5291,76 ,2150,1812,120000
18,Aboitiz Equity Ventures,Philippines,Conglomerates,2400,388,7200,7700,-
19,Abu Dhabi Commercial Bank,United Arab Emirates,Regional Banks,2800,1300,62100,11000,-
20,Abu Dhabi Islamic Bank,United Arab Emirates,Regional Banks,1600,434,24300,3800,-
21,Academy Sports + Outdoors,United States,Retailing,4600,-,-,-,22000
22,Accenture,Ireland,Computer Services,33500,3700,18100,71600,-
23,Acciona,Spain,Construction Services,7300,230,17100,4300,-
24,Accor,France,Hotels & Motels,6200,230,9700,10800,-
25,Accordant Media,United States,Business Services & Supplies,42 ,-,-,-,57
26,Achmea,Netherlands,"Insurance: Life, Health (Mutual)",25763,425 ,100926,-,15412
27,ACS,Spain,"Engineering, Construction",38741,805 ,38321,-,127362
28,Actelion,Switzerland,Pharmaceuticals,2200,587,2100,17900,-
29,Activision Blizzard,United States,Real Estate,4600,880,15300,25500,-
30,Acuity Brands,U.S.,"Electronics, Electrical Equip.",2707,222 ,2430,9553,7800
31,Adamjee Insurance,PAKISTAN,-,198,25,-,171,-
32,Adams Resources & Energy,U.S.,Petroleum Refining,1944,(1),243 ,169 ,809
33,Adani Enterprises,India,Trading Companies,10600,251,6800,1400,-
34,AdBoom Group,United States,IT Software & Services,105 ,-,-,-,72
35,Adecco,Switzerland,Business & Personal Services,24400,9,10600,11500,-
36,Adecco Group,Switzerland,Temporary Help,24415,9 ,10564,-,32000
37,Adidas,Germany,Apparel/Accessories,18800,739,14500,25200,-
38,Admiral Group plc,United Kingdom,Property & Casualty Insurance,1400,458,4900,7600,-
39,Adobe Systems,United States,Software & Programming,5000,799,11900,47400,-
40,ADP,U.S.,Diversified Outsourcing Services,11477,1453,33111,41038,55000
41,ADT,U.S.,Diversified Outsourcing Services,3574,296 ,10726,6830,17100
42,Advance Auto Parts,United States,Specialty Stores,9700,472,8100,11600,-
43,Advance Publications,United States,Media,8000,-,-,-,25000
44,Advanced Ceramic X,TAIWAN,-,56,24,-,379,-
45,Advanced Info Service,Thailand,Telecommunications services,4500,1100,5100,13100,-
46,Advanced Micro Devices,U.S.,Semiconductors and Other Electronic Components,3991,(660),3109,2261,9100
47,Advanced Semiconductor,Taiwan,Semiconductors,8900,613,11100,8300,-
48,AECOM,U.S.,"Engineering, Construction",17990,(155),14014,4699,92000
49,AECOM Technology,United States,Construction Services,18100,-36,13500,4700,-
50,Aegon,Netherlands,Diversified Insurance,33000,687,441300,13000,-
51,Aena,Spain,Other Transportation,3800,924,18500,20100,-
52,Aeon,Japan,Food Retail,60000,50,72900,13000,-
53,AerCap Holdings,Netherlands,Other Transportation,5500,1200,43900,8300,-
54,Aeroports de Paris,France,Other Transportation,3200,477,11300,12000,-
55,AES,United States,Electric Utilities,14900,306,36900,7400,-
56,Aetna,United States,Managed Health Care,60400,2400,53400,40200,-
57,Affiliated Managers Group,United States,Investment Services,2500,516,7800,9600,-
58,Aflac,United States,Life & Health Insurance,21000,2500,118300,28500,-
59,AGCO,U.S.,Construction and Farm Machinery,7467,266 ,6501,4098,19588
60,Ageas,Netherlands,Diversified Insurance,13400,854,112900,8800,-
61,Agile Property Holdings,Hong Kong,Real Estate,6800,251,18100,2200,-
