PreviousRank,CurrentRank,CompanyName,Industry,Revenues($M),Assets($M),CEO,Profits,YearsOnFortune500,HQLocation,RevChange,ProfitChange,Sector,BrandIndex,Employees,MktValue_03/31/16,intro
1,1,Walmart,General Merchandisers,"$482,130","$199,581",C. Douglas McMillon,"$14,694",22,"Bentonville, AR",-0.7%,-10.2%,Retailing,A-,"2,300,000","$215,356","Walmart is making a lot of progress in adapting its big-box approach to the 21st century and has become the second largest online retailer in the U.S. after Amazon. By giving workers raises and investing heavily in tech, its U.S. division has improved customer service and saw comparable sales rise each quarter in 2015. It is hoping to build on that with a major reset of its food business, which accounts for more than half of its sales, with a bigger focus on organic and fresh food, and by offering curbside order pick up. The retailer has also proven it can hold its own with the tech giants, rollouting out Walmart Pay across the U.S. But huge challenges remain for the world’s largest company. Its e-commerce growth lags that of its main rivals. Its Sam’s Club unit is struggling to keep up with Costco. What’s more, its international division is being buffeted by a strong U.S. dollar that is eating into profits. Total sales fell for the first time in 2015."
2,2,Exxon Mobil,Petroleum Refining,"$246,204","$336,758",Darren W. Woods,"$16,150",22,"Irving, TX",-35.6%,-50.3%,Energy,B,"75,600","$347,129","The world’s largest publicly-traded oil and gas company by market value (China’s Sinopec and Royal Dutch Shell are larger by revenue) has ridden out the collapse in crude prices better than most, its vertically-integrated model allowing downstream businesses to capture the value that upstream operations lose when oil prices are low. Even so, ExxonMobil’s once impregnable balance sheet is showing holes: the company lost its AAA credit rating from Standard & Poor’s in April after 67 years. Total spending on investments and dividends was 40% more than the combined cash flow from operations and asset sales in 2015 (it wants to cut capex by 25% this year). ExxonMobil remains the industry benchmark for everything from profitability to safety standards, but its rocky relationship with climate change remains its Achilles’ heel. State attorneys in both New York and California have opened probes into whether it misled investors over the risks to its business from climate change, against a background of allegations (which it denies) that it suppressed scientific research that came to inconvenient conclusions."
5,3,Apple,"Computers, Office Equipment","$233,715","$290,479",Timothy D. Cook,"$53,394",22,"Cupertino, CA",27.9%,35.1%,Technology,A,"110,000","$604,304","After more than a decade of solid growth fueled first by the iPod music player and then by the even more popular iPhone, Apple finally appeared to hit a wall. Still the most profitable publicly-traded company in the world, Apple’s iPhone 6S and 6S Plus upgrades barely outsold their predecessors after arriving on the market at the end of 2015, while sales of the iPad tablet computer continued to shrink throughout the year. In April 2015, the Apple Watch arrived to mixed reviews and modest sales. And though debate raged for a bit about the state of Apple’s sales in China amid a slowing economy there — including an unusual August 2015 email from CEO Tim Cook to CNBC host Jim Cramer claiming no summer slowdown — the year ended on a weak note for the company in Asia. Lately, hopes have turned to the next iPhone upgrade cycle and a push to focus on India, where Apple’s market share remains miniscule. Still, even with the growing concerns, Apple’s next big leap came into view in 2015. Dubbed Project Titan and staffed with hordes of former car industry experts, Apple’s effort to leapfrog the automobile market with an electric masterpiece likely won’t reach consumers for a few more years. But when it does, Cook and company could be riding high again."
4,4,Berkshire Hathaway,Insurance: Property and Casualty (Stock),"$210,821","$552,257",Warren E. Buffett,"$24,083",22,"Omaha, NE",8.3%,21.2%,Financials,B-,"331,000","$350,279","Warren Buffett’s insurance and investing conglomerate Berkshire Hathaway is less about Buffett than it ever was. The company used to generate the bulk of its income from Buffett’s investment mastery. But in early 2016, Berkshire completed its $32 billion acquisition of Precision Castparts. That adds to dozens of companies Berkshire now owns from car insurance company Geico, to underwear maker Fruit of the Loom, to railroad giant Burlington Northern. The company also owns, along with private equity firm 3G, a sizable chunk of food giant Kraft Heinz. Berkshire now generates nearly three-quarters of its revenue from its non-financial operating businesses, which is good news. As of late, Buffett’s big stock market investments like IBM and American Express haven’t looked so hot."
11,5,McKesson,Wholesalers: Health Care,"$181,241","$53,870",John H. Hammergren,"$1,476",22,"San Francisco, CA",31.3%,16.9%,Health Care,D,"70,400","$35,945","McKesson, the largest U.S. pharmaceutical distributor, is facing some major obstacles these days. After years of strong sales growth thanks to generic drug price inflation, the tailwind is expected to slow and cut into the company’s overall revenue growth in 2015. McKesson also recently lost a handful of customers and could potentially lose another $13 billion worth of revenue in 2018 when (or if) Rite Aid is acquired by Walgreens. Management has been working on a series of maneuvers to lessen these blows, including acquiring strategic bolt-on companies to replace lost business and implementing a restructuring plan that’s expected to generate about $180 million in savings this fiscal year."
14,6,UnitedHealth Group,Health Care: Insurance and Managed Care,"$157,107","$111,383",Stephen J. Hemsley,"$5,813",22,"Minnetonka, MN",20.4%,3.5%,Health Care,B,"200,000","$122,542","UnitedHealth Group, America’s largest health insurer, had a year marked by notable departures. Just weeks after its inclusion on last year’s Fortune 500, the firm left the industry’s largest trade group, America’s Health Insurance Plans (AHIP), asserting that the association had adopted a strategy “that does not fit UnitedHealth Group and our diversified portfolio.” More recently, the company announced that it would be leaving most of Obamacare’s statewide individual insurance marketplaces thanks to mounting losses. Both decisions speak to the insurance giant’s willingness to go it alone. That makes sense given its sheer size and the reach of its business–UnitedHealth has more than 100 million global customers. The insurer has also grown its health services platform Optum and pharmacy benefits unit OptumRx with major investments like the $12.8 billion buyout of Catamaran, as well as a recent mail-order prescription drug distribution agreement with pharmacy chain Walgreens which positions UnitedHealth as a competitor to CVS Health and Express Scripts."
10,7,CVS Health,Food and Drug Stores,"$153,290","$93,657",Larry J. Merlo,"$5,237",22,"Woonsocket, RI",10.0%,12.8%,Food and Drug Stores,A,"199,000","$113,947","CVS Health is still feeling the pinch from its 2014 decision to drop cigarettes. But the company continues to leverage the positive PR to convince more employers that it’s truly a health care company, allowing it to win new business for its Caremark pharmacy benefits manager. Though the PBM eclipsed its retail drugstore business in size a few years ago, the company continued expanding its CVS/pharmacy business, which has been grappling with declines in comparable sales. CVS recently took over 1,700 in-store drugstores from Target and is rolling out order pickup with tech startup Curbside this year. It is also continuing to push healthier food options in its stores to burnish its image as a healthcare company and improve its beauty selection to better compete with arch-rival Walgreens."
6,8,General Motors,Motor Vehicles and Parts,"$152,356","$194,520",Mary T. Barra,"$9,687",22,"Detroit, MI",-2.3%,145.3%,Motor Vehicles & Parts,A-,"215,000","$48,543","In 2015, General Motors’ most important goal was to distance itself from the ignition switch recall scandal that cast a pall over the historic brand for much of the previous year. It also had a record sales year to boot, with a total profit of $9.7 billion. For 2016, GM will look to continue staking its claim on a still growing U.S. auto market. The company is also inching towards the release of automated cars, a development that could potentially change the game for GM and the auto industry all together within the next decade."
9,9,Ford Motor,Motor Vehicles and Parts,"$149,558","$224,925",Mark Fields,"$7,373",22,"Dearborn, MI",3.8%,131.3%,Motor Vehicles & Parts,A-,"199,000","$53,758","Last year Ford posted its best U.S. sales performance since 2006. The newly revamped F-Series Trucks were a particularly bright spot, with more than 780,000 vehicles sold. The company will look to continue that streak as the market is expected to grow again this year, thanks to low gas prices. The company will also likely continue to push into automated driving technology to keep up with increasing competition. Ford had been in talks with technology companies like Google and Uber recently, but ultimately decided not to partner with either. CEO Mark Fields noted that company culture was a big reason for this. Fields has made a lot of noise about his commitment to growing Ford as a tech company, and that should continue as the industry continues to automate."
12,10,AT&T,Telecommunications,"$146,801","$402,672",Randall L. Stephenson,"$13,345",22,"Dallas, TX",10.8%,114.4%,Telecommunications,A-,"281,450","$240,943","AT&T veered into a new direction in 2015 as some of its mainstay businesses ran into trouble. A continued assault from revitalized wireless carrier T-Mobile helped strip away almost two million of AT&T’s monthly mobile subscribers. And the old legacy landline phone business accelerated its decline, losing almost 10% of its revenue from the year before. So CEO Randall Stephenson made two bold gambles that may — or may not — pay off in coming years. First, he spent almost $50 billion to acquire satellite television provider DirecTV. Along with its existing cable television offering Uverse, the move immediately made AT&T one of the largest TV subscription services in the world with 26 million U.S. customers and 19 million overseas. AT&T also acquired Nextel Mexico and Iusacell for less than $5 billion. Combining the two and upgrading its Mexican infrastructure could pay off if Latin America continues to grow faster than many other parts of the world. In the meantime, AT&T can profit from the immense flow of trade and communication between the U.S. and Mexico. The television play looks riskier, as cord cutting accelerates among millennials and Internet video services like Netflix gain momentum."
