,_id,ltable_id,rtable_id,ltable_Country,ltable_Industry,ltable_MarketValue,ltable_Name,rtable_Name,rtable_Country,rtable_Sector,rtable_Industry,rtable_MarketValue,gold_labels
443,443,1408,65,United States,"Electronics, Electrical Equip.",9553,Acuity Brands,Acuity Brands Inc,United States,Consumer Durables,Building Products,8994.89448,1
678,678,2029,108,United States,Life & Health Insurance,28500,Aflac,Aflac Incorporated,United States,Finance,Accident &Health Insurance,29053.25348,1
871,871,521,140,United States,Airline,9500,Alaska Air Group,"Alaska Communications Systems Group, Inc.",United States,Public Utilities,Telecommunications Equipment,94.55265638,1
1001,1001,743,166,United States,Business & Personal Services,12200,Alliance Data Systems,Alliance Data Systems Corporation,United States,Miscellaneous,Business Services,13925.39995,1
1002,1002,2999,166,United States,Tobacco,156,Alliance One International,Alliance Data Systems Corporation,United States,Miscellaneous,Business Services,13925.39995,0
1042,1042,743,168,United States,Business & Personal Services,12200,Alliance Data Systems,"Alliance Holdings GP, L.P.",United States,Energy,Coal Mining,1642.04209,0
1043,1043,2999,168,United States,Tobacco,156,Alliance One International,"Alliance Holdings GP, L.P.",United States,Energy,Coal Mining,1642.04209,0
1172,1172,743,172,United States,Business & Personal Services,12200,Alliance Data Systems,"Alliance Resource Partners, L.P.",United States,Energy,Coal Mining,1615.025829,0
1194,1194,2999,173,United States,Tobacco,156,Alliance One International,Alliance World Dollar Government Fund II,United States,n/a,n/a,1084.769337,0
1239,1239,1162,187,United States,Diversified Financials,9043,Ally Financial,Ally Financial Inc.,United States,Finance,Finance: Consumer Services,9437.188989,1
1417,1417,1178,206,United States,Diversified Insurance,761,Ambac Financial Group,"Ambac Financial Group, Inc.",United States,Finance,Property-Casualty Insurers,853.4701922,1
1608,1608,2843,223,United States,Specialty Retailers: Apparel,3012,American Eagle Outfitters,"American Eagle Outfitters, Inc.",United States,Consumer Services,Clothing/Shoe/Accessory Stores,2556.568038,1
1623,1623,1284,224,United States,Electric Utilities,30800,American Electric,"American Electric Power Company, Inc.",United States,Public Utilities,Electric Utilities: Central,33008.63133,1
1918,1918,1849,232,United States,"Insurance: Life, Health (stock)",3106,American National Insurance,"American National Bankshares, Inc.",United States,Finance,Major Banks,321.3612768,0
2450,2450,2758,257,United States,Semiconductors and Other Electronic Components,1398,Amkor Technology,"Amkor Technology, Inc.",United States,Technology,Semiconductors,2767.557707,1
2654,2654,2106,286,United States,Managed Health Care,38700,Anthem,"Anthem, Inc.",United States,Health Care,Medical Specialities,43722.92906,1
2770,2770,870,302,United States,Computer Hardware,586000,Apple,Apple Inc.,United States,Technology,Computer Manufacturing,753717.9364,1
2784,2784,3083,304,United States,Wholesalers: Diversified,1704,Applied Industrial Technologies,Applied DNA Sciences Inc,United States,Consumer Services,Other Consumer Services,44.46812756,0
3053,3053,737,345,United States,"Building Materials, Glass",2680,Armstrong World Industries,Armstrong World Industries Inc,United States,Consumer Non-Durables,Plastic Products,2479.326566,1
3720,3720,889,448,China,Computer Services,66100,Baidu,"Baidu, Inc.",China,Technology,"Computer Software: Programming, Data Processing",59849.03051,1
3781,3781,851,468,United States,Commercial Banks,39622,Bank of New York Mellon Corp.,Bank Of New York Mellon Corporation (The),United States,Finance,Major Banks,48913.05305,1
3796,3796,2856,483,United States,Specialty Retailers: Other,923,Barnes & Noble,"Barnes & Noble, Inc.",United States,Consumer Services,Other Specialty Stores,670.3306465,1
4025,4025,3084,494,United States,Wholesalers: Diversified,2429,Beacon Roofing Supply,"Beacon Roofing Supply, Inc.",United States,Consumer Services,RETAIL: Building Materials,2952.172871,1
4052,4052,1410,503,United States,"Electronics, Electrical Equip.",2577,Belden,Belden Inc,United States,Basic Industries,Telecommunications Equipment,2918.614993,1
4091,4091,814,515,United States,Capital Goods,-,Big Ass Fans,Big 5 Sporting Goods Corporation,United States,Consumer Services,Other Specialty Stores,331.4902917,0
4093,4093,1761,516,United States,Household & Personal Products,-,Big Time Products,"Big Lots, Inc.",United States,Consumer Services,Department/Specialty Retail Stores,2180.198155,0
4194,4194,704,529,United States,Biotechs,15200,BioMarin Pharmaceutical,BioMarin Pharmaceutical Inc.,United States,Health Care,Major Pharmaceuticals,15174.22093,1
4343,4343,1907,557,United States,Investment Services,60400,BlackRock,Blackrock Core Bond Trust,United States,n/a,n/a,720.0339321,1
4366,4366,1907,559,United States,Investment Services,60400,BlackRock,BlackRock Credit Allocation Income Trust,United States,n/a,n/a,1422.440317,1
4438,4438,1907,564,United States,Investment Services,60400,BlackRock,"Blackrock Enhanced Government Fund, Inc",United States,n/a,n/a,85.8662796,1
4503,4503,1907,569,United States,Investment Services,60400,BlackRock,Blackrock Health Sciences Trust,United States,n/a,n/a,299.1370872,1
4632,4632,1907,573,United States,Investment Services,60400,BlackRock,BlackRock Investment Quality Municipal Trust Inc. (The),United States,n/a,n/a,248.8512383,1
4659,4659,1907,575,United States,Investment Services,60400,BlackRock,BlackRock Maryland Municipal Bond Trust,United States,n/a,n/a,29.50741663,1
4781,4781,1907,586,United States,Investment Services,60400,BlackRock,BlackRock Municipal Income Trust II,United States,n/a,n/a,349.3018465,1
4847,4847,1907,594,United States,Investment Services,60400,BlackRock,"Blackrock MuniHoldings New York Quality Fund, Inc.",United States,n/a,n/a,424.0181533,1
4854,4854,1907,595,United States,Investment Services,60400,BlackRock,"Blackrock MuniHoldings Quality Fund II, Inc.",United States,n/a,n/a,298.326718,1
4857,4857,1907,598,United States,Investment Services,60400,BlackRock,"Blackrock MuniYield California Fund, Inc.",United States,n/a,n/a,314.5994513,1
4859,4859,1907,600,United States,Investment Services,60400,BlackRock,"Blackrock MuniYield Fund, Inc.",United States,n/a,n/a,671.8980038,1
4917,4917,1907,605,United States,Investment Services,60400,BlackRock,"Blackrock MuniYield New York Quality Fund, Inc.",United States,n/a,n/a,513.0421286,1
5407,5407,2142,657,United States,Medical Equipment & Supplies,26800,Boston Scientific,Boston Scientific Corporation,United States,Health Care,Medical/Dental Instruments,34046.31934,1
5558,5558,2474,678,United States,Pharmaceuticals,118200,Bristol-Myers Squibb,Bristol-Myers Squibb Company,United States,Health Care,Major Pharmaceuticals,89591.06441,1
5565,5565,1468,681,United States,Financial Data Services,7048,Broadridge Financial Solutions,"Broadridge Financial Solutions, Inc.",United States,Miscellaneous,Business Services,8036.857598,1
5584,5584,2271,686,United States,Network and Other Communications Equipment,4239,Brocade Communications Systems,"Brocade Communications Systems, Inc.",United States,Technology,Computer Communications Equipment,5088.118739,1
5619,5619,2412,705,United States,Other Transportation,10900,C.H. Robinson Worldwide,"C.H. Robinson Worldwide, Inc.",United States,Transportation,Oil Refining/Marketing,10925.68186,1
5921,5921,1285,742,United States,Electric Utilities,5500,Calpine,Calpine Corporation,United States,Public Utilities,Electric Utilities: Central,3967.547993,1
6080,6080,1080,761,United States,Consumer Financial Services,39200,Capital One Financial,Capital Southwest Corporation,United States,n/a,n/a,269.8258225,0
6473,6473,705,833,United States,Biotechs,86400,Celgene,Celgene Corporation,United States,Health Care,Major Pharmaceuticals,96802.36799,1
6545,6545,2816,865,United States,Specialized Chemicals,7700,CF Industries Holdings,CF Corporation,United States,Finance,Business Services,840.84,1
6787,6787,2288,889,United States,Oil & Gas Operations,4500,Chesapeake Energy,Chesapeake Granite Wash Trust,United States,Energy,Oil & Gas Production,125.05625,1
9529,9529,525,926,China,Airline,8400,China Southern Airlines,China Southern Airlines Company Limited,China,Transportation,Air Freight/Delivery Services,6528.682055,1
