,_id,ltable_id,rtable_id,id_id_exm,id_id_anm,id_id_lev_dist,id_id_lev_sim,Name_Name_jac_qgm_3_qgm_3,Name_Name_cos_dlm_dc0_dlm_dc0,Name_Name_jac_dlm_dc0_dlm_dc0,Name_Name_mel,Name_Name_lev_dist,Name_Name_lev_sim,Name_Name_nmw,Name_Name_sw,Country_Country_jac_qgm_3_qgm_3,Country_Country_cos_dlm_dc0_dlm_dc0,Country_Country_jac_dlm_dc0_dlm_dc0,Country_Country_mel,Country_Country_lev_dist,Country_Country_lev_sim,Country_Country_nmw,Country_Country_sw,Industry_Industry_jac_qgm_3_qgm_3,Industry_Industry_cos_dlm_dc0_dlm_dc0,Industry_Industry_jac_dlm_dc0_dlm_dc0,Industry_Industry_mel,Industry_Industry_lev_dist,Industry_Industry_lev_sim,Industry_Industry_nmw,Industry_Industry_sw,MarketValue_ratio,is_match,predicted
0,16,925,10,0.0,0.010810810810810811,3.0,0.0,0.14285714285714285,0.7071067811865475,0.5,0.7866666666666667,8.0,0.19999999999999996,-6.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,0.024390243902439025,0.0,0.0,0.4951923076923077,20.0,0.23076923076923073,-7.0,2.0,0.8938394909179335,0,1
1,30,2217,15,0.0,0.006765899864682012,3.0,0.25,0.6875,0.5773502691896258,0.4,0.9571428571428571,6.0,0.7857142857142857,16.0,22.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,0.02631578947368421,0.0,0.0,0.555506993006993,18.0,0.18181818181818177,-5.0,2.0,1.1520003840222286,0,1
2,34,829,16,0.0,0.0193003618817853,3.0,0.0,0.5238095238095238,0.40824829046386296,0.25,0.9294117647058824,6.0,0.6470588235294117,5.0,11.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,0.47368421052631576,0.7071067811865475,0.5,0.737037037037037,6.0,0.6,3.0,9.0,0.8613320838604029,0,1
3,39,2464,23,0.0,0.009334415584415612,3.0,0.25,1.0,1.0,1.0,1.0,0.0,1.0,19.0,19.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,0.6,0.7071067811865475,0.5,0.7603174603174603,6.0,0.7142857142857143,9.0,15.0,0.8457086831859667,0,1
4,40,2465,24,0.0,0.00973630831643002,2.0,0.5,0.4,0.7071067811865475,0.5,0.9090909090909091,5.0,0.5454545454545454,1.0,6.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,0.6,0.7071067811865475,0.5,0.7603174603174603,6.0,0.7142857142857143,9.0,15.0,0.9572653241763323,0,1
5,41,2842,26,0.0,0.009148486980999349,3.0,0.25,0.6129032258064516,0.8660254037844387,0.75,0.9407407407407408,8.0,0.7037037037037037,11.0,19.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,0.0,0.0,0.0,0.5119047619047619,24.0,0.19999999999999996,4.0,5.0,2.628636791390118,0,1
6,226,1254,38,0.0,0.030303030303030276,4.0,0.0,0.4666666666666667,0.8164965809277259,0.6666666666666666,0.9037037037037038,13.0,0.5185185185185186,1.0,14.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,0.4888888888888889,0.6666666666666667,0.5,0.9055403225806451,8.0,0.75,23.0,23.0,0.746459892948061,0,1
7,328,1408,48,0.0,0.03409090909090906,2.0,0.5,0.21212121212121213,0.40824829046386296,0.25,0.7556298773690078,16.0,0.30434782608695654,-5.0,7.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,0.0,0.0,0.0,0.4222222222222222,27.0,0.09999999999999998,-17.0,1.0,6.633719033437764,0,0
8,433,2576,62,0.0,0.024068322981366408,4.0,0.0,0.6785714285714286,0.40824829046386296,0.25,0.9583333333333333,5.0,0.7916666666666666,14.0,19.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,0.017857142857142856,0.0,0.0,0.5551892551892552,31.0,0.20512820512820518,-10.0,5.0,0.6802341941120772,0,1
9,443,1408,65,0.0,0.04616477272727271,4.0,0.0,0.6190476190476191,0.8164965809277259,0.6666666666666666,0.9529411764705882,4.0,0.7647058823529411,9.0,13.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,0.0,0.0,0.0,0.5045751633986928,26.0,0.1333333333333333,-9.0,3.0,1.0620469224225964,0,1
