ID,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
1,PIH,"1347 Property Insurance Holdings, Inc.",7.25,$43.2M,2014,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/pih
2,FLWS,"1-800 FLOWERS.COM, Inc.",10.15,$665.53M,1999,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/flws
3,FCCY,1st Constitution Bancorp (NJ),18.6,$148.68M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/fccy
4,SRCE,1st Source Corporation,47.06,$1.22B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/srce
5,VNET,"21Vianet Group, Inc.",7.24,$823.07M,2011,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/vnet
6,XXII,"22nd Century Group, Inc",0.98,$88.88M,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/xxii
7,TWOU,"2U, Inc.",36.52,$1.72B,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/twou
8,DDD,3D Systems Corporation,16.49,$1.85B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ddd
9,MMM,3M Company,187.41,$111.73B,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/mmm
10,WBAI,500.com Limited,12.68,$526.2M,2013,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/wbai
11,JOBS,"51job, Inc.",36.04,$2.16B,2004,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/jobs
12,WUBA,58.com Inc.,31.97,$4.63B,2013,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/wuba
13,CAFD,8point3 Energy Partners LP,13.48,$1.07B,2015,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/cafd
14,EGHT,8x8 Inc,16.15,$1.47B,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/eght
15,AVHI,"A V Homes, Inc.",16.2,$365.64M,n/a,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/avhi
16,SHLM,"A. Schulman, Inc.",33.7,$992.75M,1972,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/shlm
17,AHC,A.H. Belo Corporation,6.4,$138.73M,n/a,Consumer Services,Newspapers/Magazines,http://www.nasdaq.com/symbol/ahc
18,ATEN,"A10 Networks, Inc.",9.47,$636.44M,2014,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/aten
19,AAC,"AAC Holdings, Inc.",7.58,$179.7M,2014,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/aac
20,AAON,"AAON, Inc.",34.5,$1.82B,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aaon
21,AIR,AAR Corp.,33.68,$1.16B,n/a,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/air
22,AAN,"Aaron&#39;s,  Inc.",27.18,$1.97B,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/aan
23,ABAX,"ABAXIS, Inc.",49.75,$1.12B,1992,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/abax
24,ABB,ABB Ltd,22.55,$48.17B,n/a,Consumer Durables,Electrical Products,http://www.nasdaq.com/symbol/abb
25,ABT,Abbott Laboratories,45.68,$78.93B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abt
26,ABBV,AbbVie Inc.,62.09,$98.97B,2012,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abbv
27,ABEO,Abeona Therapeutics Inc.,5.25,$209.79M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abeo
